feature,importance
BB_low,0.025290128
High,0.024162514
SMA_50,0.023011541
EMA_26,0.022815375
MACD_lag1,0.022527013
Close,0.022434756
MACD_signal_lag3,0.022352828
ATR_14_lag2,0.022085082
MACD_signal_lag2,0.022054335
ATR_14,0.021532495
BB_mavg,0.021438116
RSI_14_lag3,0.021415412
MACD_hist_lag1,0.020737918
ret_1d_lag3,0.0207211
MACD_signal_lag1,0.02044467
BB_percent_b_lag3,0.020223632
ATR_14_lag3,0.020190574
BB_percent_b,0.020163996
RSI_14,0.020077871
ATR_14_lag1,0.020035546
MACD_hist_lag2,0.019908989
Open,0.019856492
EMA_12,0.019766433
ATR_14_lag5,0.019658992
MACD_hist,0.019430349
dist_SMA_200,0.019377658
BB_high,0.019349797
MACD_signal_lag5,0.019273533
MACD_lag5,0.019175623
ret_1d,0.019102965
RSI_14_lag5,0.019001834
MACD_hist_lag3,0.018784624
Low,0.018558813
RSI_14_lag2,0.018217897
BB_percent_b_lag2,0.01818787
MACD_lag2,0.018111179
MACD_signal,0.01808932
MACD_hist_lag5,0.018081034
ret_1d_lag5,0.018070092
vol_20,0.017955275
BB_percent_b_lag5,0.017897688
dist_SMA_50,0.01780132
MACD,0.017496468
ret_1d_lag1,0.01745149
RSI_14_lag1,0.017416118
ret_1d_lag2,0.017375607
vol_10,0.017182952
MACD_lag3,0.016824128
SMA_200,0.016804982
BB_percent_b_lag1,0.016340336
Volume,0.015735203
sma_cross_up,0.0
