feature,importance
BB_mavg,0.03338051
MACD,0.023176922
BB_low,0.022664318
MACD_lag1,0.022525525
SMA_200,0.021819
EMA_26,0.021649087
High,0.021392668
BB_percent_b,0.021344947
RSI_14_lag3,0.0208174
RSI_14_lag2,0.020802964
Close,0.020772198
MACD_lag3,0.020763118
RSI_14_lag5,0.020740625
MACD_hist_lag3,0.020564351
MACD_hist_lag1,0.02034838
MACD_signal_lag2,0.020124298
Low,0.019886011
ret_1d_lag5,0.019734245
ret_1d,0.019711688
RSI_14_lag1,0.019653907
ret_1d_lag2,0.019649707
dist_SMA_50,0.019534137
vol_20,0.01947566
MACD_hist_lag5,0.01943373
MACD_signal,0.019269539
RSI_14,0.019267742
ATR_14,0.019221053
BB_percent_b_lag5,0.019126853
MACD_signal_lag3,0.019048218
Volume,0.01902066
BB_percent_b_lag3,0.018906191
dist_SMA_200,0.018681647
ATR_14_lag1,0.018615779
EMA_12,0.018569706
SMA_50,0.018338364
MACD_hist_lag2,0.018300874
ATR_14_lag3,0.018285945
ATR_14_lag5,0.018228566
vol_10,0.018198457
MACD_lag5,0.017913483
BB_high,0.01791344
ATR_14_lag2,0.01788474
Open,0.017823039
BB_percent_b_lag2,0.017653191
ret_1d_lag1,0.017636683
BB_percent_b_lag1,0.017560279
MACD_signal_lag5,0.017384594
ret_1d_lag3,0.017158968
MACD_signal_lag1,0.017108446
MACD_lag2,0.016737033
MACD_hist,0.016181171
sma_cross_up,0.0
