feature,importance
sma_cross_up,0.046181493
BB_high,0.024392402
ATR_14_lag3,0.023822919
MACD_lag1,0.023141986
Open,0.022042928
MACD_signal_lag1,0.02148115
MACD_hist,0.02118804
dist_SMA_50,0.020945132
MACD_hist_lag3,0.020941803
MACD,0.020885194
High,0.020692881
MACD_hist_lag2,0.020373276
EMA_12,0.020341791
ATR_14,0.020088494
MACD_lag2,0.019937726
Close,0.01955592
SMA_200,0.019339371
MACD_hist_lag1,0.019300776
vol_10,0.0192973
RSI_14_lag1,0.019206828
RSI_14_lag5,0.019161858
MACD_hist_lag5,0.019135896
dist_SMA_200,0.019065963
Low,0.018972857
SMA_50,0.018939957
RSI_14_lag3,0.018922236
ATR_14_lag5,0.018728763
MACD_signal,0.01835621
BB_low,0.018314285
BB_mavg,0.018143449
ret_1d_lag1,0.017879443
ret_1d_lag2,0.017856637
MACD_signal_lag3,0.0177357
ret_1d_lag5,0.017685257
ATR_14_lag1,0.01759522
BB_percent_b_lag3,0.017592067
BB_percent_b,0.017508935
RSI_14,0.017486366
BB_percent_b_lag1,0.0171827
vol_20,0.017138604
BB_percent_b_lag5,0.017097361
MACD_signal_lag2,0.017015394
MACD_lag5,0.016937936
RSI_14_lag2,0.016619723
Volume,0.016490724
ret_1d_lag3,0.016483774
BB_percent_b_lag2,0.01598922
EMA_26,0.015865736
MACD_lag3,0.015670408
ATR_14_lag2,0.015536505
ret_1d,0.015487149
MACD_signal_lag5,0.014246338
