feature,importance
Close,0.026635066
SMA_200,0.023934534
BB_mavg,0.023611557
MACD_hist_lag2,0.022749461
MACD_lag3,0.02238617
MACD_signal_lag2,0.021524303
MACD_signal_lag3,0.021347962
MACD_signal,0.021300523
MACD_hist_lag3,0.02127732
BB_percent_b_lag3,0.021195482
MACD_signal_lag1,0.021086525
MACD_hist_lag5,0.020908916
EMA_26,0.02076976
MACD_lag2,0.020752257
MACD,0.02074735
MACD_signal_lag5,0.0200143
RSI_14_lag1,0.019946096
ret_1d_lag3,0.019904003
RSI_14_lag2,0.019815823
dist_SMA_50,0.01965689
ATR_14,0.019545283
BB_percent_b_lag2,0.019302467
ret_1d,0.019104261
MACD_hist_lag1,0.019093784
vol_10,0.019060621
RSI_14_lag5,0.018912956
BB_percent_b_lag5,0.018866377
dist_SMA_200,0.01878676
Low,0.018692465
MACD_lag1,0.018678937
ATR_14_lag3,0.018548537
vol_20,0.018512065
ATR_14_lag2,0.018373877
ret_1d_lag5,0.018353064
High,0.018224847
BB_low,0.017901061
BB_percent_b_lag1,0.017892295
Open,0.017861987
MACD_hist,0.017808542
ret_1d_lag2,0.017782506
Volume,0.017643638
ATR_14_lag1,0.01744896
sma_cross_up,0.017321127
BB_percent_b,0.01731241
BB_high,0.017165728
ATR_14_lag5,0.017054608
RSI_14_lag3,0.016992455
ret_1d_lag1,0.016675033
MACD_lag5,0.016618624
RSI_14,0.01638878
EMA_12,0.014645109
SMA_50,0.013866558
