feature,importance
MACD_signal_lag2,0.02662318
MACD_lag2,0.023927415
MACD_signal_lag5,0.021830346
vol_20,0.02169615
MACD_hist_lag1,0.021179728
MACD_lag5,0.021153834
MACD_lag1,0.021119148
SMA_200,0.02111284
MACD_lag3,0.02102763
ret_1d,0.02087467
MACD_hist_lag3,0.02086877
dist_SMA_50,0.020838954
ATR_14_lag2,0.020795822
BB_percent_b,0.020770349
MACD_signal,0.020523876
BB_percent_b_lag1,0.02040074
MACD_signal_lag3,0.020266298
RSI_14_lag1,0.02019668
Low,0.020179098
RSI_14_lag3,0.019928811
RSI_14_lag2,0.019870508
Open,0.019813932
Volume,0.019605456
Close,0.019530633
BB_percent_b_lag5,0.019368019
ATR_14_lag1,0.019344993
dist_SMA_200,0.019071423
ret_1d_lag3,0.018847683
MACD_signal_lag1,0.018835308
MACD_hist_lag5,0.01881184
BB_percent_b_lag2,0.018777777
RSI_14,0.018634431
RSI_14_lag5,0.018323816
ret_1d_lag1,0.018221295
ret_1d_lag5,0.018160548
vol_10,0.017945034
MACD,0.017871192
EMA_12,0.017869234
SMA_50,0.01786232
MACD_hist_lag2,0.017810058
BB_high,0.017753035
High,0.01771937
ATR_14_lag3,0.017689645
ret_1d_lag2,0.017673662
BB_percent_b_lag3,0.017377954
ATR_14_lag5,0.016919127
MACD_hist,0.016806563
EMA_26,0.016603645
BB_low,0.016136194
ATR_14,0.015800226
sma_cross_up,0.01502514
BB_mavg,0.014605538
