feature,importance
ATR_14_lag3,0.025052309
High,0.023312366
MACD_lag3,0.02253943
dist_SMA_50,0.022339936
Open,0.022192609
MACD_lag1,0.022033338
MACD_lag2,0.02196887
ATR_14,0.021251583
BB_percent_b_lag2,0.021234414
RSI_14_lag5,0.021224698
MACD_signal_lag1,0.021161966
ATR_14_lag1,0.021002809
RSI_14,0.020571318
Volume,0.020379907
ret_1d_lag3,0.020316299
ATR_14_lag5,0.020300135
BB_percent_b_lag1,0.020149522
RSI_14_lag3,0.02009603
BB_high,0.019918116
MACD_lag5,0.019907838
MACD_hist,0.019760843
MACD_signal_lag3,0.019685786
MACD_hist_lag1,0.019642763
BB_low,0.019627716
MACD_signal,0.019475276
RSI_14_lag2,0.019440819
BB_percent_b_lag5,0.019440241
ret_1d,0.019439908
MACD_signal_lag2,0.019330585
ret_1d_lag5,0.019294169
SMA_50,0.019076403
ret_1d_lag1,0.018876437
dist_SMA_200,0.018778967
ATR_14_lag2,0.018667392
Close,0.018463118
ret_1d_lag2,0.018154046
MACD_hist_lag2,0.018006314
BB_mavg,0.017872067
RSI_14_lag1,0.017770486
vol_10,0.017535126
BB_percent_b,0.017419819
MACD_hist_lag3,0.017303497
MACD_hist_lag5,0.017223861
EMA_26,0.01713404
Low,0.01694104
vol_20,0.016884884
SMA_200,0.016469607
MACD_signal_lag5,0.016460499
MACD,0.016449703
EMA_12,0.015974237
BB_percent_b_lag3,0.014785473
sma_cross_up,0.01166135
