feature,importance
EMA_26,0.024755556
RSI_14_lag3,0.023539795
BB_mavg,0.021796755
MACD_signal_lag3,0.021781025
MACD_lag1,0.021735849
ret_1d_lag1,0.021418253
MACD_hist_lag2,0.021245938
ATR_14_lag5,0.021170342
BB_percent_b,0.020945529
BB_percent_b_lag1,0.020907665
vol_10,0.020686256
RSI_14,0.020646883
ATR_14_lag1,0.0206141
MACD_hist_lag3,0.020576298
ATR_14,0.02052645
BB_high,0.02040885
ATR_14_lag3,0.02038595
SMA_50,0.020338273
MACD_signal_lag5,0.020129064
High,0.019985598
MACD_signal_lag1,0.019902783
ATR_14_lag2,0.019865168
Volume,0.019551575
Open,0.019498086
ret_1d_lag3,0.019482773
MACD_hist_lag5,0.019449545
BB_low,0.019382922
vol_20,0.019348197
dist_SMA_50,0.0192869
MACD_signal_lag2,0.01915857
RSI_14_lag2,0.018903034
EMA_12,0.018803278
BB_percent_b_lag3,0.01863629
MACD_lag5,0.018587086
Low,0.018333826
SMA_200,0.018297004
MACD_hist,0.018267106
MACD_lag3,0.018213782
ret_1d,0.018110286
BB_percent_b_lag2,0.01803982
BB_percent_b_lag5,0.017779
RSI_14_lag5,0.017509587
RSI_14_lag1,0.017112108
MACD,0.017095264
Close,0.0169677
ret_1d_lag5,0.016797192
dist_SMA_200,0.016789518
MACD_signal,0.015744423
ret_1d_lag2,0.015734658
MACD_lag2,0.015605999
MACD_hist_lag1,0.015195022
sma_cross_up,0.014957073
