feature,importance
MACD_lag1,0.024350857
vol_20,0.023957917
Low,0.022616705
MACD_signal_lag1,0.022263743
High,0.02138457
MACD,0.021345017
BB_high,0.021330517
ret_1d_lag1,0.021289714
MACD_lag5,0.021227237
Open,0.020814436
MACD_lag2,0.020776952
MACD_hist_lag3,0.020702627
MACD_hist_lag2,0.020694043
RSI_14_lag5,0.020589603
MACD_signal_lag5,0.020520011
ATR_14_lag2,0.020338602
Volume,0.020280011
ret_1d_lag3,0.020165417
BB_percent_b_lag2,0.020159729
MACD_hist_lag1,0.019725477
ATR_14_lag1,0.019716522
SMA_200,0.019351171
MACD_lag3,0.019283133
RSI_14_lag3,0.019243084
EMA_12,0.019240463
RSI_14_lag2,0.019193975
BB_percent_b_lag5,0.018975034
ATR_14,0.018830022
Close,0.018705046
RSI_14_lag1,0.018698057
vol_10,0.018685644
SMA_50,0.01866842
ret_1d,0.018637648
ret_1d_lag2,0.018496178
ret_1d_lag5,0.018491458
MACD_signal,0.018450722
dist_SMA_200,0.018201072
ATR_14_lag3,0.018153775
ATR_14_lag5,0.018125413
RSI_14,0.017714426
BB_low,0.017644439
MACD_hist_lag5,0.01755452
EMA_26,0.017438421
BB_percent_b_lag1,0.017282574
MACD_hist,0.0172456
BB_percent_b,0.016877687
MACD_signal_lag2,0.016810354
MACD_signal_lag3,0.016747277
sma_cross_up,0.01621624
BB_mavg,0.015972743
BB_percent_b_lag3,0.015942706
dist_SMA_50,0.014873044
