feature,importance
MACD_signal_lag1,0.027134355
MACD_lag2,0.024273038
MACD_lag1,0.02307269
Close,0.022304213
ret_1d,0.022079192
MACD,0.021830665
BB_mavg,0.021693267
BB_low,0.021497374
MACD_lag5,0.021296058
RSI_14_lag3,0.021084858
ATR_14_lag2,0.020965502
ret_1d_lag1,0.020952191
RSI_14_lag5,0.020613259
dist_SMA_200,0.020601373
ret_1d_lag2,0.020327426
BB_high,0.020265678
ATR_14_lag1,0.019899065
MACD_signal_lag5,0.019846538
MACD_hist_lag1,0.019761292
ATR_14_lag5,0.019701386
vol_20,0.019590408
RSI_14,0.019443216
MACD_hist_lag5,0.019395947
ATR_14,0.019378645
MACD_hist_lag2,0.019292854
ret_1d_lag5,0.019268114
vol_10,0.01926094
BB_percent_b,0.019188033
ATR_14_lag3,0.018813334
MACD_signal_lag2,0.018786103
Low,0.018571666
MACD_hist_lag3,0.018494988
Open,0.018289398
dist_SMA_50,0.018227953
MACD_hist,0.01814465
BB_percent_b_lag3,0.018128471
BB_percent_b_lag1,0.01811131
SMA_200,0.018039146
ret_1d_lag3,0.017879728
Volume,0.017814415
MACD_lag3,0.01749508
MACD_signal_lag3,0.017452825
MACD_signal,0.017429886
RSI_14_lag2,0.017418846
BB_percent_b_lag5,0.016965128
BB_percent_b_lag2,0.016886245
High,0.016601473
RSI_14_lag1,0.016594928
EMA_12,0.016551027
EMA_26,0.016250342
SMA_50,0.015705599
sma_cross_up,0.011329796
