feature,importance
ATR_14_lag3,0.022749003
Low,0.022427397
MACD_lag1,0.021958714
Open,0.021931056
EMA_26,0.021572694
MACD_signal_lag2,0.02152576
MACD_hist_lag3,0.021349225
ret_1d_lag5,0.0212011
ATR_14,0.021165032
MACD_hist_lag1,0.02114846
BB_percent_b_lag2,0.021069065
Close,0.02071476
dist_SMA_50,0.02068275
SMA_200,0.020645391
MACD_signal_lag1,0.020425286
MACD_signal_lag3,0.020388277
BB_high,0.020362504
BB_percent_b_lag3,0.020354994
dist_SMA_200,0.020343045
RSI_14_lag5,0.020315535
BB_percent_b,0.020256791
MACD_lag5,0.020123376
ATR_14_lag5,0.020118767
ret_1d_lag1,0.020049317
RSI_14_lag1,0.01985662
MACD,0.019739887
ret_1d,0.019726273
EMA_12,0.019555159
RSI_14,0.01945493
ATR_14_lag2,0.019406326
BB_low,0.019298296
SMA_50,0.019211818
ret_1d_lag3,0.019122064
High,0.01893571
vol_10,0.018802347
MACD_signal_lag5,0.01857156
RSI_14_lag2,0.018430887
ATR_14_lag1,0.018427555
MACD_hist_lag5,0.018218828
MACD_hist,0.017930983
MACD_signal,0.017793
BB_percent_b_lag1,0.017282033
Volume,0.017202176
RSI_14_lag3,0.017143564
ret_1d_lag2,0.016557071
MACD_hist_lag2,0.016381532
MACD_lag3,0.016210433
vol_20,0.016136965
MACD_lag2,0.01604203
BB_mavg,0.015499229
BB_percent_b_lag5,0.015438236
sma_cross_up,0.010746144
