feature,importance
MACD_lag2,0.027219173
RSI_14_lag1,0.025558474
MACD_lag1,0.024858344
Close,0.023259148
MACD_lag5,0.023218872
RSI_14_lag3,0.023168486
EMA_26,0.02280419
Open,0.022511998
Low,0.022219034
MACD_signal_lag2,0.021698939
MACD_signal,0.021359652
SMA_50,0.020807821
RSI_14_lag2,0.02064801
BB_low,0.020509353
ATR_14_lag5,0.020174919
High,0.020105237
MACD_hist_lag2,0.02002926
ret_1d_lag2,0.019767199
SMA_200,0.019533005
ATR_14_lag1,0.019405598
MACD_hist_lag1,0.019371504
RSI_14,0.019328361
RSI_14_lag5,0.019310867
MACD_lag3,0.019307498
MACD_signal_lag5,0.019000053
BB_mavg,0.018997077
ret_1d,0.018977672
BB_percent_b_lag2,0.018932413
MACD_signal_lag1,0.018732414
BB_percent_b_lag1,0.018592002
ret_1d_lag1,0.018528743
ret_1d_lag3,0.018522907
vol_10,0.018377995
BB_percent_b_lag3,0.018356644
BB_percent_b,0.018309586
ATR_14,0.018260414
dist_SMA_50,0.0182288
dist_SMA_200,0.018101772
Volume,0.017691184
MACD_hist_lag3,0.01766007
vol_20,0.017546048
ret_1d_lag5,0.017338859
MACD_hist,0.01722913
MACD_hist_lag5,0.01710882
ATR_14_lag2,0.01652663
ATR_14_lag3,0.016491398
BB_percent_b_lag5,0.016467728
BB_high,0.016427329
MACD_signal_lag3,0.015875464
MACD,0.015409339
EMA_12,0.013995842
sma_cross_up,0.008138719
