feature,importance
Close,0.027938519
sma_cross_up,0.027576711
BB_mavg,0.022079976
MACD_lag2,0.021750499
MACD_signal_lag5,0.021745555
RSI_14_lag3,0.021517003
MACD_lag1,0.021189047
ret_1d_lag3,0.021055518
vol_20,0.020825256
BB_percent_b,0.02080612
BB_percent_b_lag3,0.020770172
BB_low,0.020714879
MACD_hist_lag2,0.020430783
ret_1d_lag2,0.02033064
EMA_26,0.020134576
ret_1d,0.020115014
BB_percent_b_lag1,0.020031078
dist_SMA_200,0.019951638
SMA_200,0.019735016
BB_percent_b_lag5,0.019558556
MACD_lag5,0.019521711
EMA_12,0.019424152
MACD_hist,0.019374128
MACD_signal_lag1,0.01936919
SMA_50,0.019182725
ATR_14,0.019118827
MACD_hist_lag3,0.018787982
MACD_hist_lag5,0.018760225
High,0.018661728
ATR_14_lag5,0.01862379
ret_1d_lag1,0.018273786
BB_high,0.018195838
RSI_14_lag2,0.018146234
vol_10,0.018125253
MACD_hist_lag1,0.018085932
MACD_signal,0.017989336
MACD_signal_lag3,0.017987758
ATR_14_lag3,0.017974604
Low,0.017965412
ATR_14_lag2,0.01792984
Volume,0.017886143
MACD_lag3,0.017666096
ret_1d_lag5,0.017503029
BB_percent_b_lag2,0.017297031
RSI_14_lag5,0.017256675
dist_SMA_50,0.017211052
RSI_14,0.017147223
ATR_14_lag1,0.017027121
Open,0.015434883
MACD,0.015358569
MACD_signal_lag2,0.015341603
RSI_14_lag1,0.0151155405
