feature,importance
dist_SMA_200,0.024810497
Low,0.02335223
High,0.02273715
MACD_hist_lag3,0.022632498
ret_1d_lag3,0.022536486
BB_low,0.022092408
MACD_hist_lag5,0.021578316
RSI_14,0.021201428
ret_1d,0.020988943
MACD_lag1,0.020957204
ret_1d_lag1,0.020898009
Open,0.020640478
ATR_14,0.020483514
dist_SMA_50,0.020348785
ret_1d_lag5,0.020214016
Close,0.020169646
BB_mavg,0.02004327
BB_percent_b,0.019967636
ret_1d_lag2,0.019883966
MACD_lag3,0.01985432
RSI_14_lag2,0.019836988
MACD_signal_lag5,0.019818151
ATR_14_lag1,0.019811057
MACD,0.019774748
MACD_hist_lag2,0.019519508
MACD_signal_lag2,0.01942813
BB_high,0.019245205
SMA_200,0.019087661
Volume,0.01908247
MACD_signal,0.018960683
EMA_26,0.018917432
ATR_14_lag5,0.018914439
BB_percent_b_lag5,0.018845841
ATR_14_lag3,0.018751172
MACD_hist,0.01864424
vol_10,0.018601572
RSI_14_lag5,0.018272685
MACD_lag5,0.018092254
MACD_signal_lag1,0.018001592
MACD_lag2,0.017958619
RSI_14_lag1,0.017901948
SMA_50,0.017788323
vol_20,0.01778121
ATR_14_lag2,0.017181672
MACD_signal_lag3,0.017057633
BB_percent_b_lag3,0.016725801
BB_percent_b_lag1,0.016719732
RSI_14_lag3,0.016114367
MACD_hist_lag1,0.015754724
BB_percent_b_lag2,0.015684126
sma_cross_up,0.013969606
EMA_12,0.012365533
