feature,importance
MACD_lag3,0.02736298
BB_mavg,0.02505169
Close,0.023778303
MACD_lag2,0.0230164
BB_high,0.02252479
EMA_26,0.022397442
EMA_12,0.02206057
MACD_signal_lag2,0.021946771
MACD_lag1,0.021772759
RSI_14_lag3,0.021244451
Low,0.021072367
MACD_signal,0.020473182
vol_20,0.020470642
ATR_14_lag3,0.020463882
MACD,0.020415565
BB_percent_b_lag5,0.020202586
ret_1d_lag3,0.020182831
RSI_14_lag2,0.020105127
RSI_14_lag1,0.020019393
MACD_lag5,0.019997744
MACD_signal_lag1,0.019995645
MACD_signal_lag3,0.019954676
MACD_hist_lag2,0.019868713
ATR_14_lag1,0.019773483
MACD_hist_lag5,0.019643344
BB_percent_b_lag2,0.019314863
MACD_hist_lag3,0.019312274
High,0.019193044
ret_1d_lag1,0.019177644
BB_percent_b_lag3,0.01896585
ATR_14_lag5,0.018909594
ret_1d_lag5,0.01863515
dist_SMA_200,0.01858467
MACD_hist_lag1,0.018448414
BB_percent_b_lag1,0.018440347
Open,0.018339824
MACD_hist,0.01798654
ret_1d_lag2,0.017902218
SMA_200,0.01767554
RSI_14_lag5,0.017627977
Volume,0.017542139
dist_SMA_50,0.017536214
ATR_14,0.017468221
BB_percent_b,0.017399786
ret_1d,0.017349036
RSI_14,0.017212763
ATR_14_lag2,0.017004168
SMA_50,0.016939076
vol_10,0.01690052
MACD_signal_lag5,0.016301464
BB_low,0.01603732
sma_cross_up,0.0
