feature,importance
Close,0.033555325
EMA_26,0.0274837
MACD,0.023235263
ATR_14_lag5,0.022885153
Low,0.022769753
BB_percent_b,0.022200571
MACD_hist_lag2,0.021521507
MACD_signal_lag2,0.021483745
MACD_signal_lag1,0.02127208
MACD_hist_lag5,0.02119774
BB_percent_b_lag3,0.020974476
dist_SMA_50,0.020605093
ret_1d,0.020224372
MACD_lag5,0.020091489
MACD_lag1,0.020037679
BB_percent_b_lag2,0.019885892
RSI_14_lag2,0.019840872
vol_10,0.019697433
BB_low,0.019622132
ATR_14_lag2,0.019478196
BB_high,0.01938125
ATR_14_lag1,0.019365357
SMA_50,0.01934116
MACD_signal,0.019187601
BB_mavg,0.019183012
Volume,0.01913028
RSI_14,0.019100228
BB_percent_b_lag1,0.018993411
SMA_200,0.018868221
RSI_14_lag1,0.018859543
MACD_lag3,0.018785134
ret_1d_lag5,0.018703187
BB_percent_b_lag5,0.01866979
MACD_lag2,0.018520577
MACD_hist,0.01850372
EMA_12,0.0184529
dist_SMA_200,0.018345729
ret_1d_lag3,0.018103743
RSI_14_lag5,0.017940434
RSI_14_lag3,0.01786996
vol_20,0.01761205
ret_1d_lag2,0.017537953
ret_1d_lag1,0.017469205
MACD_hist_lag1,0.017466394
MACD_hist_lag3,0.017195357
MACD_signal_lag5,0.017099986
ATR_14,0.0170856
ATR_14_lag3,0.017022485
High,0.01680831
MACD_signal_lag3,0.015862735
Open,0.015472164
sma_cross_up,0.0
