feature,importance
MACD_lag1,0.024511792
High,0.024475636
Low,0.023843385
MACD_hist,0.023563497
EMA_12,0.022245545
RSI_14,0.022140682
BB_percent_b,0.021832652
vol_10,0.021556143
RSI_14_lag3,0.02109395
RSI_14_lag2,0.02073353
MACD_lag2,0.020490667
ret_1d,0.020484932
vol_20,0.020484349
ret_1d_lag1,0.020309545
MACD,0.020137819
ATR_14_lag1,0.020088453
Volume,0.019908948
BB_percent_b_lag2,0.019600347
Close,0.0195614
dist_SMA_200,0.019522216
SMA_50,0.019488623
BB_percent_b_lag3,0.01945539
BB_low,0.019395104
ATR_14_lag3,0.019360945
MACD_hist_lag1,0.01935514
BB_high,0.019303054
BB_mavg,0.019271772
MACD_hist_lag2,0.019249955
RSI_14_lag1,0.019134182
BB_percent_b_lag1,0.019130189
MACD_lag5,0.019013004
MACD_hist_lag5,0.019006483
ret_1d_lag5,0.018957257
MACD_signal_lag5,0.018915499
ATR_14_lag2,0.018866412
dist_SMA_50,0.018835189
MACD_signal_lag3,0.018732185
RSI_14_lag5,0.01868386
MACD_signal_lag2,0.018389123
MACD_signal,0.018384231
ret_1d_lag2,0.018292293
ret_1d_lag3,0.018155953
ATR_14_lag5,0.01794031
ATR_14,0.017849147
SMA_200,0.017670926
Open,0.017554073
BB_percent_b_lag5,0.017413618
MACD_hist_lag3,0.017396739
EMA_26,0.0173427
MACD_lag3,0.016938053
MACD_signal_lag1,0.01593308
sma_cross_up,0.0
