feature,importance
EMA_26,0.029506689
SMA_200,0.023785967
Close,0.02352665
BB_percent_b_lag2,0.023324221
ATR_14_lag1,0.022873454
Volume,0.022010366
High,0.021769837
BB_high,0.021049831
ATR_14_lag2,0.021031084
BB_mavg,0.020798916
RSI_14,0.020718576
RSI_14_lag1,0.02067285
ATR_14_lag5,0.020610927
Open,0.020469896
ret_1d_lag1,0.020410739
ret_1d_lag3,0.020327328
BB_low,0.02027094
BB_percent_b_lag5,0.02023484
MACD_hist_lag1,0.020187765
Low,0.020140463
RSI_14_lag2,0.020085102
MACD_signal,0.01981038
MACD_hist,0.01948844
RSI_14_lag3,0.019325012
MACD_hist_lag2,0.01927293
EMA_12,0.019232618
BB_percent_b_lag3,0.019160682
ATR_14_lag3,0.019145705
vol_10,0.018952807
BB_percent_b_lag1,0.01871251
ret_1d,0.018551288
MACD_signal_lag1,0.018226294
ATR_14,0.018124698
MACD_lag3,0.01810156
vol_20,0.018019406
MACD_signal_lag5,0.017920738
MACD_signal_lag2,0.017905073
BB_percent_b,0.017884586
MACD_lag2,0.017708873
MACD_hist_lag5,0.017467491
MACD,0.017273419
ret_1d_lag5,0.017183831
MACD_signal_lag3,0.016779125
dist_SMA_200,0.016761484
RSI_14_lag5,0.016761202
MACD_hist_lag3,0.0165501
ret_1d_lag2,0.016270509
MACD_lag5,0.016265266
dist_SMA_50,0.016256591
SMA_50,0.015616249
MACD_lag1,0.01526559
sma_cross_up,0.01219906
