feature,importance
EMA_26,0.029151922
BB_low,0.028282382
BB_mavg,0.025430435
BB_percent_b,0.023277218
MACD_signal_lag5,0.022746125
ATR_14_lag2,0.021692738
MACD_lag2,0.021623742
EMA_12,0.021580053
Open,0.021575324
MACD_signal,0.021143118
MACD_signal_lag3,0.020759342
ret_1d_lag3,0.020281272
ATR_14_lag1,0.020275053
RSI_14,0.020254523
dist_SMA_50,0.020068023
ret_1d_lag2,0.019844895
MACD_hist,0.019595653
Low,0.019571275
High,0.019468103
ATR_14_lag5,0.019463774
ret_1d_lag5,0.019428743
MACD,0.01922832
ATR_14_lag3,0.0192143
MACD_hist_lag3,0.019116595
MACD_lag1,0.019098317
MACD_hist_lag2,0.0189764
RSI_14_lag3,0.018912094
MACD_signal_lag1,0.01883193
Volume,0.018539738
BB_percent_b_lag1,0.018363802
RSI_14_lag1,0.01836019
BB_percent_b_lag3,0.018194953
RSI_14_lag5,0.018128248
MACD_lag5,0.018038938
vol_20,0.018004911
BB_percent_b_lag5,0.017976021
dist_SMA_200,0.017776359
RSI_14_lag2,0.017767332
SMA_50,0.017548177
ret_1d_lag1,0.017273111
MACD_hist_lag5,0.017211882
MACD_signal_lag2,0.017182883
BB_high,0.01713559
vol_10,0.0169261
ATR_14,0.016912345
Close,0.016846446
MACD_hist_lag1,0.016719423
MACD_lag3,0.01670325
BB_percent_b_lag2,0.016617503
ret_1d,0.015563568
SMA_200,0.015560143
sma_cross_up,0.011757459
