feature,importance
sma_cross_up,0.027106538
Close,0.023396447
MACD_lag2,0.023134295
ATR_14_lag5,0.02311647
ATR_14,0.022544162
High,0.022439148
EMA_26,0.02193152
vol_10,0.021840727
BB_mavg,0.021749007
MACD_signal_lag1,0.02123517
Open,0.021113882
MACD_hist_lag2,0.021069087
MACD_hist_lag1,0.020889858
dist_SMA_50,0.020562062
BB_percent_b_lag1,0.020449232
MACD_hist_lag3,0.02023827
Low,0.020166097
SMA_50,0.020123547
MACD_signal_lag2,0.020031549
RSI_14_lag2,0.020017765
MACD_signal_lag5,0.019710986
ATR_14_lag3,0.01963919
ATR_14_lag1,0.019595917
BB_low,0.019354384
MACD_lag3,0.019211398
ret_1d_lag2,0.019210394
MACD,0.019204434
BB_percent_b,0.01915956
BB_percent_b_lag3,0.019048035
SMA_200,0.018816186
BB_percent_b_lag5,0.0187604
BB_percent_b_lag2,0.018709956
RSI_14_lag3,0.018535167
BB_high,0.01852679
EMA_12,0.018524975
ret_1d,0.018509762
RSI_14_lag1,0.018503
ret_1d_lag5,0.018230714
ret_1d_lag3,0.017569223
vol_20,0.017536696
ret_1d_lag1,0.017383773
dist_SMA_200,0.017280111
ATR_14_lag2,0.017251022
Volume,0.01695161
MACD_lag5,0.016617939
MACD_hist_lag5,0.016452545
MACD_hist,0.01583935
RSI_14_lag5,0.015016384
RSI_14,0.014981874
MACD_signal_lag3,0.014812008
MACD_lag1,0.014795977
MACD_signal,0.013105435
