feature,importance
BB_low,0.02387402
MACD_signal_lag2,0.023668615
ATR_14_lag1,0.02308792
SMA_200,0.022181181
MACD_lag5,0.022176314
ATR_14_lag3,0.021666715
RSI_14_lag3,0.021569183
MACD_signal_lag5,0.020998891
ATR_14,0.020996105
BB_percent_b_lag5,0.020875385
MACD_hist_lag3,0.02069043
Close,0.020657955
MACD_lag3,0.020637652
BB_high,0.020296654
MACD_signal_lag3,0.020134022
MACD_hist,0.020039942
EMA_12,0.02002726
ATR_14_lag5,0.019912738
MACD_signal_lag1,0.019795228
BB_percent_b_lag3,0.01951938
MACD,0.019244947
ret_1d,0.019127492
RSI_14_lag2,0.019098261
Volume,0.018987764
dist_SMA_50,0.01896945
ret_1d_lag3,0.01890928
EMA_26,0.018816547
MACD_lag2,0.018803662
BB_mavg,0.01877176
MACD_hist_lag5,0.018722422
MACD_hist_lag1,0.018514795
ATR_14_lag2,0.01848053
High,0.018460358
MACD_lag1,0.018410498
SMA_50,0.018294293
RSI_14,0.018283533
ret_1d_lag1,0.01825861
RSI_14_lag1,0.018248405
MACD_hist_lag2,0.01821279
Low,0.018164936
BB_percent_b,0.018125769
BB_percent_b_lag2,0.017931812
vol_20,0.017916981
BB_percent_b_lag1,0.017877089
RSI_14_lag5,0.017806306
ret_1d_lag5,0.017604386
vol_10,0.017403105
dist_SMA_200,0.01701366
ret_1d_lag2,0.016740093
Open,0.015446653
sma_cross_up,0.015285059
MACD_signal,0.015263102
