feature,importance
MACD_lag1,0.025315404
MACD_lag3,0.02452925
ATR_14_lag2,0.024293639
BB_percent_b,0.023690103
dist_SMA_200,0.023216207
High,0.022988103
ATR_14_lag5,0.02275259
SMA_200,0.022413153
vol_10,0.021679368
MACD_signal_lag1,0.020904906
MACD_lag5,0.020493954
ATR_14_lag1,0.020405147
dist_SMA_50,0.020393955
ret_1d_lag3,0.020171452
MACD_lag2,0.020097978
RSI_14,0.020085895
RSI_14_lag3,0.020083494
Close,0.020019993
BB_low,0.020005351
RSI_14_lag1,0.019998422
Volume,0.019695992
MACD_hist_lag5,0.019635448
MACD_signal_lag2,0.01952931
MACD_signal_lag3,0.019472422
ret_1d_lag5,0.019290991
RSI_14_lag5,0.019044083
MACD_hist_lag1,0.01903938
ATR_14_lag3,0.018962061
BB_high,0.018872801
ret_1d,0.018860294
MACD,0.018777184
ret_1d_lag1,0.01866402
ret_1d_lag2,0.018658932
RSI_14_lag2,0.018616473
ATR_14,0.01844485
MACD_hist_lag3,0.018284995
BB_percent_b_lag3,0.017965332
BB_percent_b_lag2,0.017887034
EMA_26,0.01747809
BB_percent_b_lag5,0.01746059
MACD_hist_lag2,0.017407304
MACD_signal_lag5,0.017334053
MACD_hist,0.01727006
BB_mavg,0.017033385
MACD_signal,0.016904244
BB_percent_b_lag1,0.01668049
Open,0.016170103
vol_20,0.01610395
Low,0.015177033
EMA_12,0.01507651
SMA_50,0.01506224
sma_cross_up,0.011601924
